date,location,latitude,longitude,river_discharge,precipitation
2020-06-15 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.7164392,
2020-06-16 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,3.2169652,
2020-06-17 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,4.7147865,
2020-06-18 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,3.4977984,
2020-06-19 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.784426,
2020-06-20 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.9376497,
2020-06-21 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.6546056,
2020-06-22 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.6424086,
2020-06-23 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.5292981,
2020-06-24 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.3768401,
2020-06-25 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.2029264,
2020-06-26 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.7669415,
2020-06-27 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,4.4701595,
2020-06-28 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,5.3241186,
2020-06-29 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,4.597576,
2020-06-30 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.8904512,
2020-07-01 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.1841977,
2020-07-02 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.8906798,
2020-07-03 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.5292981,
2020-07-04 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.5156045,
2020-07-05 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.2809527,
2020-07-06 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.0338912,
2020-07-07 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.2210689,
2020-07-08 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.74973,
