date,latitude,longitude,wind_speed,central_pressure,basin
2021-06-13 12:00:00,20.7000,101.900, ,998,WP
2020-09-24 03:00:00,21.1074,-123.008, , ,EP
2022-11-02 12:00:00,21.5000,114.800, , ,WP
2021-08-27 00:00:00,13.6000,-101.900,40,1001,EP
2022-07-30 21:00:00,13.5925,-127.765, , ,EP
2023-07-30 00:00:00,18.5000,132.800, , ,WP
2021-09-11 21:00:00,24.3500,-114.658, , ,EP
2023-10-07 15:00:00,9.91498,153.205, , ,WP
2020-05-23 00:00:00,-15.9000,97.1000, , ,SI
2023-09-03 12:00:00,22.8000,120.200, , ,WP
2022-03-02 06:00:00,-19.5000,120.600,40,986,SI
2020-09-14 18:00:00,18.2000,-118.700,45,998,EP
2022-01-27 00:00:00,-16.4000,83.7000, , ,SI
2021-08-25 15:00:00,12.2350,-98.6650, , ,EP
2022-09-22 18:00:00,29.5000,135.000, , ,WP
2021-08-04 15:00:00,19.0575,-127.258, , ,EP
2020-12-23 12:00:00,8.03333,106.300, ,1006,WP
2024-05-26 15:00:00,21.2850,88.5055, , ,NI
2023-07-17 18:00:00,17.0000,-142.400, , ,EP
2021-02-15 18:00:00,5.90000,139.000, , ,WP
2022-05-10 03:00:00,14.8286,83.1150, , ,NI
2023-08-12 06:00:00,16.4333,179.033, , ,WP
2022-09-17 15:00:00,15.5275,-106.600, , ,EP
2020-09-27 00:00:00,21.3000,-136.500,30,1007,EP
2021-07-22 06:00:00,23.5000,125.875,85,950,WP
2020-12-28 12:00:00,-20.0000,42.5500,35,998,SI
2023-08-06 12:00:00,13.0000,220.800, , ,EP
2020-07-23 09:00:00,13.0498,-134.093, , ,EP
2023-10-17 21:00:00,16.3558,109.857, , ,WP
2020-03-01 21:00:00,-18.8296,126.500, , ,SI
2021-02-14 06:00:00,-20.3000,77.7000,32,1002,SI
2022-09-24 18:00:00,20.3000,-125.900,20,1009,EP
2020-07-12 12:00:00,20.6000,-123.700,35,1006,EP
2020-05-16 00:00:00,17.4000,120.100,35,1000,WP
2023-11-25 12:00:00,14.9000,-123.133, , ,EP
2021-10-13 09:00:00,22.7195,153.296, , ,WP
2022-09-23 12:00:00,18.0000,-110.400,45,1000,EP
2021-02-15 00:00:00,6.40000,140.900, , ,WP
2023-10-19 00:00:00,16.0000,-107.967, , ,EP
2021-01-27 09:00:00,-27.0027,23.5227, , ,SI
2020-09-04 21:00:00,50.0051,123.720, , ,WP
2021-08-05 15:00:00,26.8538,129.302, , ,WP
2021-08-03 21:00:00,13.6001,-133.950, , ,EP
2022-05-10 03:00:00,-15.7849,91.6202, , ,SI
2020-10-05 15:00:00,23.1962,139.272, , ,WP
2023-08-14 06:00:00,32.3000,136.900, , ,WP
2022-12-16 06:00:00,13.6000,64.5000, , ,NI
2020-10-22 21:00:00,29.6903,140.382, , ,WP
2021-07-16 12:00:00,15.1000,-121.200,110,959,EP
2021-05-15 12:00:00,13.8500,72.9500,55,985,NI
2021-08-15 21:00:00,18.8148,-121.157, , ,EP
2023-09-07 12:00:00,32.0000,137.100, , ,WP
2021-08-03 18:00:00,20.4000,-115.800,25,1009,EP
2020-09-26 18:00:00,41.9500,147.200, ,1004,WP
2021-04-22 09:00:00,20.5981,125.729, , ,WP
2020-05-13 00:00:00,11.8750,128.875,50,992,WP
2021-12-20 12:00:00,19.0250,112.075,35,1000,WP
2020-04-26 09:00:00,15.2425,-118.150, , ,EP
2021-01-06 15:00:00,-16.3865,74.1512, , ,SI
2021-08-18 06:00:00,16.2582,137.235, , ,WP
2022-09-09 06:00:00,19.2000,128.700, , ,WP
2021-03-05 03:00:00,-17.2835,42.6916, , ,SI
2021-12-08 03:00:00,-12.8151,105.915, , ,SI
2022-03-30 12:00:00,-19.7000,82.3000, , ,SI
2020-08-08 03:00:00,17.4715,126.712, , ,WP
